method,irun,is_incremental,size,duration
append,0,True,1000.0,2.1310017108917236
append,1,True,1000.0,2.194110155105591
append,2,True,1000.0,2.487130880355835
merge,0,True,1000.0,3.41680908203125
merge,1,True,1000.0,3.3572850227355957
merge,2,True,1000.0,3.8836708068847656
overwrite,0,False,1000.0,2.4205784797668457
overwrite,1,False,1000.0,2.220903158187866
overwrite,2,False,1000.0,2.2186756134033203
merge,0,False,1000.0,5.233078718185425
merge,1,False,1000.0,4.474374771118164
merge,2,False,1000.0,4.658799409866333
append,0,True,10000.0,2.3819284439086914
append,1,True,10000.0,2.051713228225708
append,2,True,10000.0,2.0533394813537598
merge,0,True,10000.0,3.999028205871582
merge,1,True,10000.0,3.3761253356933594
merge,2,True,10000.0,3.3788251876831055
overwrite,0,False,10000.0,2.522034168243408
overwrite,1,False,10000.0,2.565995216369629
overwrite,2,False,10000.0,2.7821550369262695
merge,0,False,10000.0,4.687509059906006
merge,1,False,10000.0,6.2206947803497314
merge,2,False,10000.0,4.983470916748047
append,0,True,100000.0,2.30224871635437
append,1,True,100000.0,2.0077853202819824
append,2,True,100000.0,2.5694260597229004
merge,0,True,100000.0,3.54351806640625
merge,1,True,100000.0,3.599144697189331
merge,2,True,100000.0,4.04852557182312
overwrite,0,False,100000.0,2.680515766143799
overwrite,1,False,100000.0,2.434684991836548
overwrite,2,False,100000.0,2.4298417568206787
merge,0,False,100000.0,5.057950019836426
merge,1,False,100000.0,4.696642637252808
merge,2,False,100000.0,4.704267263412476
append,0,True,1000000.0,2.793696880340576
append,1,True,1000000.0,2.2039260864257812
append,2,True,1000000.0,2.1552133560180664
merge,0,True,1000000.0,4.388252019882202
merge,1,True,1000000.0,4.074190616607666
merge,2,True,1000000.0,4.09095025062561
overwrite,0,False,1000000.0,3.0740654468536377
overwrite,1,False,1000000.0,3.161607265472412
overwrite,2,False,1000000.0,3.5247232913970947
merge,0,False,1000000.0,10.132285356521606
merge,1,False,1000000.0,9.62321162223816
merge,2,False,1000000.0,10.174848794937134
append,0,True,10000000.0,2.7523345947265625
append,1,True,10000000.0,2.8153271675109863
append,2,True,10000000.0,3.1840109825134277
merge,0,True,10000000.0,4.991983652114868
merge,1,True,10000000.0,4.9836366176605225
merge,2,True,10000000.0,5.475969076156616
overwrite,0,False,10000000.0,9.175749063491821
overwrite,1,False,10000000.0,8.625601530075073
overwrite,2,False,10000000.0,8.693624496459961
merge,0,False,10000000.0,46.8760347366333
merge,1,False,10000000.0,45.12863874435425
merge,2,False,10000000.0,46.42795467376709
append,0,True,100000000.0,5.22921347618103
append,1,True,100000000.0,5.005523204803467
append,2,True,100000000.0,13.09791374206543
merge,0,True,100000000.0,9.320812940597534
merge,1,True,100000000.0,23.588505744934082
merge,2,True,100000000.0,7.987958669662476
overwrite,0,False,100000000.0,39.246458530426025
overwrite,1,False,100000000.0,39.439629316329956
overwrite,2,False,100000000.0,39.395185708999634
merge,0,False,100000000.0,268.77934765815735
merge,1,False,100000000.0,152.52159190177917
merge,2,False,100000000.0,122.28016209602356
append,0,True,1000000000.0,25.920379877090454
append,1,True,1000000000.0,29.25833034515381
append,2,True,1000000000.0,29.170027017593384
merge,0,True,1000000000.0,38.879852056503296
merge,1,True,1000000000.0,40.43427586555481
merge,2,True,1000000000.0,39.40608334541321
overwrite,0,False,1000000000.0,627.4349691867828
overwrite,1,False,1000000000.0,616.4045424461365
overwrite,2,False,1000000000.0,618.1592919826508
merge,0,False,1000000000.0,1793.3185527324677
merge,1,False,1000000000.0,1016.977433681488
merge,2,False,1000000000.0,1130.6293330192566
